0, 13605
100, 13754
200, 13494
300, 13653
400, 13659
500, 13212
600, 13565
700, 13942
800, 13764
900, 13399
1000, 13433
1100, 13682
1200, 13386
1300, 13783
1400, 13231
1500, 13594
1600, 13872
1700, 13799
1800, 13228
1900, 13385
2000, 13880
2100, 13328
2200, 13211
2300, 13150
2400, 13433
2500, 13327
2600, 13521
2700, 13618
2800, 13433
2900, 13407
3000, 13595
3100, 13545
3200, 14031
3300, 13993
3400, 13296
3500, 13422
3600, 13719
3700, 13570
3800, 13695
3900, 13968
4000, 13788
4100, 13729
4200, 13603
4300, 13432
4400, 13246
4500, 13443
4600, 13500
4700, 13466
4800, 13202
4900, 13574
5000, 13258
5100, 13181
5200, 13714
5300, 13625
5400, 13435
5500, 13471
5600, 13722
5700, 13453
5800, 13844
5900, 13171
6000, 13296
6100, 13220
6200, 13549
6300, 13585
6400, 13829
6500, 13440
6600, 13323
6700, 13570
6800, 13667
6900, 13309
7000, 13580
7100, 13318
7200, 13625
7300, 13706
7400, 13977
7500, 13627
7600, 13174
7700, 13212
7800, 13248
7900, 13430
8000, 13588
8100, 13569
8200, 13719
8300, 13547
8400, 13642
8500, 13740
8600, 13702
8700, 13738
8800, 13524
8900, 13406
9000, 13382
9100, 13531
9200, 13620
9300, 13581
9400, 13776
9500, 13970
9600, 13618
9700, 13755
9800, 13868
9900, 13641
10000, 13288
10100, 13702
10200, 13449
10300, 13751
10400, 13739
10500, 13413
10600, 13919
10700, 13691
10800, 13588
10900, 13382
11000, 13674
11100, 13489
11200, 13323
11300, 13630
11400, 13653
11500, 13612
11600, 13374
11700, 13617
11800, 13642
11900, 13633
12000, 13697
12100, 13701
12200, 13699
12300, 13455
12400, 13919
12500, 13737
12600, 13551
12700, 13414
12800, 13447
12900, 13685
13000, 13298
13100, 13384
13200, 13568
13300, 13321
13400, 13377
13500, 13504
13600, 13362
13700, 13304
13800, 13292
13900, 13828
14000, 13535
14100, 13368
14200, 13537
14300, 13624
14400, 13374
14500, 13525
14600, 13465
14700, 13671
14800, 13606
14900, 13327
15000, 13602
15100, 13275
15200, 13313
15300, 13618
15400, 13789
15500, 13796
15600, 13471
15700, 13217
15800, 13224
15900, 13085
16000, 13442
16100, 13328
16200, 13626
16300, 13907
16400, 13257
16500, 13509
16600, 13408
16700, 13724
16800, 13501
16900, 13741
17000, 13702
17100, 13522
17200, 13510
17300, 13235
17400, 13459
17500, 13482
17600, 13564
17700, 13406
17800, 13187
17900, 13661
18000, 13877
18100, 13797
18200, 13308
18300, 13424
18400, 13618
18500, 13304
18600, 13478
18700, 13789
18800, 13882
18900, 13576
19000, 13390
19100, 13500
19200, 13624
19300, 13722
19400, 13820
19500, 13621
19600, 13596
19700, 13731
19800, 13359
19900, 13482
20000, 13591
20100, 13147
20200, 13043
20300, 13384
20400, 13560
20500, 13001
20600, 13150
20700, 13410
20800, 13411
20900, 13576
21000, 13301
21100, 13277
21200, 13623
21300, 13448
21400, 13860
21500, 13659
21600, 13608
21700, 13287
21800, 13684
21900, 13940
22000, 13497
22100, 13517
22200, 13436
22300, 13351
22400, 13412
22500, 13447
22600, 13524
22700, 13356
22800, 13368
22900, 13549
23000, 13450
23100, 13341
